SampleID.x	X1	Moisture	SoilpH	WDRFBuffer	SolubleSalt	OrganicMatter	CO2C	TotalN	OrganicN	TotalOrganicC	Nitrate	Ammonium	InorganicNitrogen	TotalPhosphorus	InorganicPhosphorus	OrganicPhosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	MAC	OrganicCN	OrganicNInorganicN	OrganicNRelease	OrganicNReserve	OrganicPRelease	OrganicPReserve	SoilHealthCalculation	AvailableN	AvailableP	AvailableK	pcoa1	pcoa2	SampleID.y	Treatment	Plot	SubPlot	Depth	Date	Burn	Disturbance	richness	virome
4B2BS	BSV22	44.205996	7.2	7.2	0.65	14.4	1102	82	44.7	520	1.7	53.5	55.2	36	29.9	5.8	107	1202	363	95	117.9	1.92	139.5	0.05	155	19	211.9	11.6	0.8	44.7	0	5.8	0	69.97	30	82.2	128.2	NA	NA	4B2BS	Burn	B2	B2B	0-3cm	4/27/2021	After	yes	NA	no
4B3AD	BDV23	41.70058644	6.3	6.3	0.15	16.8	444	30.6	14.9	197	5.6	8.4	14	5	3.5	1.9	92	845	371	56	7.5	0.36	11.3	0.16	111	11	225.4	13.2	1.1	14.9	0	1.9	0	30.1	8.7	12.3	109.8	0.133378754	-0.291114699	4B3AD	Burn	B3	B3A	3-6cm	4/27/2021	After	yes	2405	yes
4B3AS	BSV23	54.4670206	6	6	0.2	28.1	1512	42.8	17.5	215	8.7	22.5	31.2	9	6.5	2.6	89	895	301	49	11.1	0.71	33.2	0.09	122	12	704.2	12.3	0.6	17.5	0	2.6	0	81.65	14.6	20.9	106.4	0.124215495	-0.278159567	4B3AS	Burn	B3	B3A	0-3cm	4/27/2021	After	yes	2171	yes
4B3BD	BDV24	32.04285237	6.9	7.2	0.25	16.9	826	47.4	24.5	251	1	33	34	14	10.6	3.1	122	990	377	66	27.3	0.62	35.3	0.16	107	11	328.9	10.2	0.7	24.5	0	3.1	0	48.78	17.6	31.5	146.6	0.133777381	-0.258152299	4B3BD	Burn	B3	B3B	3-6cm	4/27/2021	After	yes	1959	yes
4B3BS	BSV24	34.84514086	7.1	7.2	0.66	23.7	1286	98.7	50.1	570	0.2	62.2	62.4	51	43	8.2	166	1356	281	65	94	1.6	91.6	0.14	193	12	225.4	11.4	0.8	50.1	0	8.2	0	80.72	33.7	117.9	199.3	0.127458526	-0.265881034	4B3BS	Burn	B3	B3B	0-3cm	4/27/2021	After	yes	1486	yes
4B4AD	UDV23	30.54017518	5.9	5.9	0.05	15.7	1004	16.9	12.1	207	0.8	2.5	3.3	3	1	1.8	125	520	387	70	3.9	0.33	18.7	0.22	66	11	484.5	17.1	3.7	12.1	0	1.8	0	55.55	4.6	6.4	150.1	0.204774455	-0.009998116	4B4AD	Burn	B4	B4A	3-6cm	4/27/2021	After	yes	2698	yes
4B4AS	USV23	28.30657635	5.9	5.9	0.05	17.7	792	21.9	13.3	235	0.6	12.5	13.1	4	2.5	1.7	123	522	342	59	5.2	0.67	48.1	0.25	70	14	337.1	17.6	1	13.3	0	1.7	0	45.63	7.9	9.7	147.8	0.168053261	-0.004793156	4B4AS	Burn	B4	B4A	0-3cm	4/27/2021	After	yes	1772	yes
4B4BD	UDV24D	22.58180615	5.8	6	0.16	14.2	450.9	71.2	50	846	0.6	24.1	24.7	5	3.1	1.4	220	509	443	97	15.1	0.48	94.7	0.36	72	15	53.3	16.9	2	50	0	1.4	0	46.97	22.4	10.4	264.5	0.123507296	-0.052547225	4B4BD	Burn	B4	B4B	3-6cm	4/27/2021	After	yes	1840	yes
4B4BS	USV24	42.1728186	6.2	6.3	0.18	18.3	663.1	55.7	37.3	537	0.5	23.1	23.6	16	12.5	4	179	771	299	72	20.8	1.02	103.6	0.16	88	16	123.6	14.4	1.6	37.3	0	4	0	47.61	18.3	37.9	214.3	0.180172446	-0.025120424	4B4BS	Burn	B4	B4B	0-3cm	4/27/2021	After	yes	2406	yes
4U1AD	UDV19	56.55964138	5.4	5.5	0.07	23.2	756	18.6	13.6	215	1	3.9	4.9	3	1.1	2.2	52	501	325	59	3.4	0.85	17.9	0.14	59	11	351.3	15.8	2.8	13.6	0	2.2	0	43.46	5.6	7.6	62.7	0.050637189	0.340408018	4U1AD	Control	U1	U1A	3-6cm	4/27/2021	After	no	3205	yes
4U1AS	USV19	122.7770617	5.5	5.5	0.09	43.9	1600	14.8	9.5	180	0.8	6	6.8	4	2	1.6	39	567	145	40	3.1	1.61	30	0.23	56	11	888.8	18.9	1.4	9.5	0	1.6	0	84.55	4.9	8.4	47.2	-0.034121447	0.243652396	4U1AS	Control	U1	U1A	0-3cm	4/27/2021	After	no	4108	yes
4U1BD	UDV20	43.79445178	5.5	5.6	0.1	24.7	992	18.4	13.7	298	0.6	2.3	2.9	4	1.3	2.8	106	596	383	54	4.9	0.59	20.2	0.29	131	11	333.1	21.7	4.8	13.7	0	2.8	0	56.93	5	9.5	127.4	0.063424295	0.24131254	4U1BD	Control	U1	U1B	3-6cm	4/27/2021	After	no	3458	yes
